"","1","10","11","12","14","15","16","17","2","3","4","5","6","7","8","9"
"1",54540,545,18,1,0,4,4,21,0,0,2,856,0,1,4180,140
"10",554,43059,40,13,0,140,418,39,0,0,3,3,1,1040,1053,608
"11",31,59,12657,0,0,0,0,143,0,0,0,7,0,335,386,1647
"12",2,38,0,140,0,0,0,0,0,0,1,0,0,0,6,0
"14",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"15",2,346,0,0,0,3640,255,0,0,0,0,0,0,1,0,0
"16",8,1104,3,0,0,318,2887,2,0,0,0,0,0,4,2,0
"17",90,238,252,0,0,0,2,1322,0,0,3,26,0,188,296,271
"2",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",5,0,3,0,0,0,0,0,0,16,1,8,0,0,18,4
"4",12,9,0,0,0,0,0,1,0,0,1442,305,0,0,94,5
"5",844,12,2,0,0,0,0,12,0,0,129,32033,0,1,972,15
"6",0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"7",0,1023,108,0,0,2,5,33,0,0,0,0,0,35477,297,1388
"8",3537,884,138,1,0,0,7,41,0,2,33,1237,0,132,139291,2652
"9",61,419,990,0,0,0,15,45,0,0,2,2,0,908,2758,110144
