"species","bcr","year","sector","subbasin_id","obs_population_sub","sector_impact_sub","sector_percent_impact_sub"
"CAWA","can14","2020","built",7060374950,6686,-126,-1.89
"CAWA","can14","2020","built",7060035480,28386,220,0.77
"CAWA","can14","2020","built",7060037340,56382,1644,2.92
"CAWA","can14","2020","built",7060364000,13770,57,0.41
"CAWA","can14","2020","built",7060035470,78339,508,0.65
"CAWA","can14","2020","built",7060034570,56662,398,0.7
"CAWA","can14","2020","built",7060035870,74741,1786,2.39
"CAWA","can14","2020","built",7060038320,41518,414,1
"CAWA","can14","2020","built",7060035860,65291,493,0.75
"CAWA","can14","2020","built",7060034520,90451,753,0.83
"CAWA","can14","2020","built",7060063860,27200,337,1.24
"CAWA","can14","2020","built",7060034340,19090,-162,-0.85
"CAWA","can14","2020","built",7060035320,7272,9,0.13
"CAWA","can14","2020","built",7060034870,38759,132,0.34
"CAWA","can14","2020","built",7060035360,23295,37,0.16
"CAWA","can14","2020","crop",7060374950,6686,-320,-4.79
"CAWA","can14","2020","crop",7060035480,28385,71,0.25
"CAWA","can14","2020","crop",7060037340,56381,844,1.5
"CAWA","can14","2020","crop",7060364000,13769,40,0.29
"CAWA","can14","2020","crop",7060035470,78336,879,1.12
"CAWA","can14","2020","crop",7060034570,56660,729,1.29
"CAWA","can14","2020","crop",7060035870,74740,112,0.15
"CAWA","can14","2020","crop",7060038320,41518,43,0.1
"CAWA","can14","2020","crop",7060035860,65289,983,1.51
"CAWA","can14","2020","crop",7060034520,90449,101,0.11
"CAWA","can14","2020","crop",7060063860,27200,459,1.69
"CAWA","can14","2020","crop",7060034340,19090,-57,-0.3
"CAWA","can14","2020","crop",7060035320,7272,7,0.09
"CAWA","can14","2020","crop",7060034870,38759,89,0.23
"CAWA","can14","2020","crop",7060035360,23295,25,0.11
"CAWA","can14","2020","dam_and_associated_reservoir",7060374950,6686,-1,-0.02
"CAWA","can14","2020","dam_and_associated_reservoir",7060035480,28385,3,0.01
"CAWA","can14","2020","dam_and_associated_reservoir",7060037340,56382,551,0.98
"CAWA","can14","2020","dam_and_associated_reservoir",7060364000,13769,127,0.92
"CAWA","can14","2020","dam_and_associated_reservoir",7060035470,78338,109,0.14
"CAWA","can14","2020","dam_and_associated_reservoir",7060034570,56662,83,0.15
"CAWA","can14","2020","dam_and_associated_reservoir",7060035870,74740,140,0.19
"CAWA","can14","2020","dam_and_associated_reservoir",7060038320,41518,30,0.07
"CAWA","can14","2020","dam_and_associated_reservoir",7060035860,65290,322,0.49
"CAWA","can14","2020","dam_and_associated_reservoir",7060034520,90451,300,0.33
"CAWA","can14","2020","dam_and_associated_reservoir",7060063860,27200,29,0.11
"CAWA","can14","2020","dam_and_associated_reservoir",7060034340,19090,-16,-0.09
"CAWA","can14","2020","dam_and_associated_reservoir",7060035320,7272,8,0.11
"CAWA","can14","2020","dam_and_associated_reservoir",7060034870,38759,-11,-0.03
"CAWA","can14","2020","dam_and_associated_reservoir",7060035360,23295,NA,NA
"CAWA","can14","2020","forestry_harvest",7060374950,6686,-51,-0.76
"CAWA","can14","2020","forestry_harvest",7060035480,28386,674,2.37
"CAWA","can14","2020","forestry_harvest",7060037340,56383,5596,9.92
"CAWA","can14","2020","forestry_harvest",7060364000,13770,623,4.52
"CAWA","can14","2020","forestry_harvest",7060035470,78339,1088,1.39
"CAWA","can14","2020","forestry_harvest",7060034570,56662,277,0.49
"CAWA","can14","2020","forestry_harvest",7060035870,74742,4348,5.82
"CAWA","can14","2020","forestry_harvest",7060038320,41519,1064,2.56
"CAWA","can14","2020","forestry_harvest",7060035860,65292,1664,2.55
"CAWA","can14","2020","forestry_harvest",7060034520,90449,-985,-1.09
"CAWA","can14","2020","forestry_harvest",7060063860,27200,215,0.79
"CAWA","can14","2020","forestry_harvest",7060034340,19090,-1690,-8.85
"CAWA","can14","2020","forestry_harvest",7060035320,7272,-620,-8.52
"CAWA","can14","2020","forestry_harvest",7060034870,38760,-2751,-7.1
"CAWA","can14","2020","forestry_harvest",7060035360,23296,-1960,-8.41
"CAWA","can14","2020","mines",7060374950,6686,-114,-1.71
"CAWA","can14","2020","mines",7060035480,28386,-34,-0.12
"CAWA","can14","2020","mines",7060037340,56383,2724,4.83
"CAWA","can14","2020","mines",7060364000,13771,NA,NA
"CAWA","can14","2020","mines",7060035470,78345,-29,-0.04
"CAWA","can14","2020","mines",7060034570,56669,130,0.23
"CAWA","can14","2020","mines",7060035870,74742,1273,1.7
"CAWA","can14","2020","mines",7060038320,41519,875,2.11
"CAWA","can14","2020","mines",7060035860,65292,NA,NA
"CAWA","can14","2020","mines",7060034520,90456,-498,-0.55
"CAWA","can14","2020","mines",7060063860,27200,423,1.55
"CAWA","can14","2020","mines",7060034340,19090,-170,-0.89
"CAWA","can14","2020","mines",7060035320,7272,NA,NA
"CAWA","can14","2020","mines",7060034870,38760,NA,NA
"CAWA","can14","2020","mines",7060035360,23296,NA,NA
"CAWA","can14","2020","nav_water",7060374950,6686,-55,-0.82
"CAWA","can14","2020","nav_water",7060035480,28385,170,0.6
"CAWA","can14","2020","nav_water",7060037340,56381,1049,1.86
"CAWA","can14","2020","nav_water",7060364000,13770,144,1.05
"CAWA","can14","2020","nav_water",7060035470,78338,839,1.07
"CAWA","can14","2020","nav_water",7060034570,56660,20,0.04
"CAWA","can14","2020","nav_water",7060035870,74740,1291,1.73
"CAWA","can14","2020","nav_water",7060038320,41518,224,0.54
"CAWA","can14","2020","nav_water",7060035860,65290,996,1.53
"CAWA","can14","2020","nav_water",7060034520,90447,209,0.23
"CAWA","can14","2020","nav_water",7060063860,27199,359,1.32
"CAWA","can14","2020","nav_water",7060034340,19090,-294,-1.54
"CAWA","can14","2020","nav_water",7060035320,7272,NA,NA
"CAWA","can14","2020","nav_water",7060034870,38759,494,1.28
"CAWA","can14","2020","nav_water",7060035360,23295,228,0.98
"CAWA","can14","2020","night_lights",7060374950,6686,-803,-12.02
"CAWA","can14","2020","night_lights",7060035480,28386,1205,4.25
"CAWA","can14","2020","night_lights",7060037340,56382,8146,14.45
"CAWA","can14","2020","night_lights",7060364000,13770,265,1.92
"CAWA","can14","2020","night_lights",7060035470,78338,6052,7.73
"CAWA","can14","2020","night_lights",7060034570,56661,5613,9.91
"CAWA","can14","2020","night_lights",7060035870,74741,7422,9.93
"CAWA","can14","2020","night_lights",7060038320,41519,1956,4.71
"CAWA","can14","2020","night_lights",7060035860,65291,3075,4.71
"CAWA","can14","2020","night_lights",7060034520,90449,6120,6.77
"CAWA","can14","2020","night_lights",7060063860,27200,1735,6.38
"CAWA","can14","2020","night_lights",7060034340,19090,-2324,-12.17
"CAWA","can14","2020","night_lights",7060035320,7272,102,1.41
"CAWA","can14","2020","night_lights",7060034870,38760,1874,4.84
"CAWA","can14","2020","night_lights",7060035360,23296,599,2.57
"CAWA","can14","2020","oil_gas",7060374950,6687,NA,NA
"CAWA","can14","2020","oil_gas",7060035480,28389,NA,NA
"CAWA","can14","2020","oil_gas",7060037340,56385,NA,NA
"CAWA","can14","2020","oil_gas",7060364000,13773,NA,NA
"CAWA","can14","2020","oil_gas",7060035470,78354,NA,NA
"CAWA","can14","2020","oil_gas",7060034570,56671,NA,NA
"CAWA","can14","2020","oil_gas",7060035870,74745,226,0.3
"CAWA","can14","2020","oil_gas",7060038320,41521,NA,NA
"CAWA","can14","2020","oil_gas",7060035860,65299,NA,NA
"CAWA","can14","2020","oil_gas",7060034520,90467,NA,NA
"CAWA","can14","2020","oil_gas",7060063860,27202,NA,NA
"CAWA","can14","2020","oil_gas",7060034340,19093,NA,NA
"CAWA","can14","2020","oil_gas",7060035320,7272,NA,NA
"CAWA","can14","2020","oil_gas",7060034870,38762,NA,NA
"CAWA","can14","2020","oil_gas",7060035360,23299,NA,NA
"CAWA","can14","2020","pasture",7060374950,6686,146,2.19
"CAWA","can14","2020","pasture",7060035480,28380,153,0.54
"CAWA","can14","2020","pasture",7060037340,56372,2848,5.05
"CAWA","can14","2020","pasture",7060364000,13769,45,0.33
"CAWA","can14","2020","pasture",7060035470,78337,1616,2.06
"CAWA","can14","2020","pasture",7060034570,56661,2599,4.59
"CAWA","can14","2020","pasture",7060035870,74728,1687,2.26
"CAWA","can14","2020","pasture",7060038320,41511,583,1.4
"CAWA","can14","2020","pasture",7060035860,65281,1002,1.54
"CAWA","can14","2020","pasture",7060034520,90458,6018,6.65
"CAWA","can14","2020","pasture",7060063860,27196,476,1.75
"CAWA","can14","2020","pasture",7060034340,19089,-206,-1.08
"CAWA","can14","2020","pasture",7060035320,7271,12,0.17
"CAWA","can14","2020","pasture",7060034870,38754,380,0.98
"CAWA","can14","2020","pasture",7060035360,23293,110,0.47
