,1,10,11,12,14,15,16,17,2,3,4,5,6,7,8,9
1,90.43,0.90,0.03,0.00,0.00,0.01,0.01,0.03,0.00,0.00,0.00,1.42,0.00,0.00,6.93,0.23
10,1.18,91.67,0.09,0.03,0.00,0.30,0.89,0.08,0.00,0.00,0.01,0.01,0.00,2.21,2.24,1.29
11,0.20,0.39,82.92,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.05,0.00,2.19,2.53,10.79
12,1.07,20.32,0.00,74.87,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,3.21,0.00
14,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0.05,8.15,0.00,0.00,0.00,85.77,6.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00
16,0.18,25.51,0.07,0.00,0.00,7.35,66.71,0.05,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.00
17,3.35,8.85,9.38,0.00,0.00,0.00,0.07,49.18,0.00,0.00,0.11,0.97,0.00,6.99,11.01,10.08
2,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,9.09,0.00,5.45,0.00,0.00,0.00,0.00,0.00,0.00,29.09,1.82,14.55,0.00,0.00,32.73,7.27
4,0.64,0.48,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,77.19,16.33,0.00,0.00,5.03,0.27
5,2.48,0.04,0.01,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.38,94.16,0.00,0.00,2.86,0.04
6,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00
7,0.00,2.67,0.28,0.00,0.00,0.01,0.01,0.09,0.00,0.00,0.00,0.00,0.00,92.55,0.77,3.62
8,2.39,0.60,0.09,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.02,0.84,0.00,0.09,94.14,1.79
9,0.05,0.36,0.86,0.00,0.00,0.00,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.79,2.39,95.49
