,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9
1,79.24,0.39,0.06,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,3.42,0.00,0.00,16.16,0.67
10,0.61,81.38,0.26,0.05,0.00,0.00,0.26,2.00,0.20,0.00,0.00,0.02,0.07,0.00,6.97,4.56,3.63
11,0.94,1.91,61.12,0.00,0.00,0.00,0.00,0.03,1.24,0.00,0.01,0.00,0.14,0.00,6.16,6.79,21.65
12,0.00,31.25,0.00,67.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
14,0.00,0.00,0.00,25.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00
15,0.00,9.45,0.00,0.00,0.00,0.00,71.91,18.53,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.04
16,0.00,30.20,0.22,0.00,0.00,0.00,10.40,57.43,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.12,1.31
17,2.21,15.26,22.53,0.00,0.00,0.00,0.03,0.31,27.34,0.00,0.00,0.00,0.17,0.00,10.76,7.87,13.53
2,92.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,10.31,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.68,1.32,17.76,0.00,0.44,39.91,17.32
4,6.08,2.22,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.09,53.19,29.02,0.03,0.00,8.89,0.42
5,6.96,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,1.06,85.24,0.00,0.00,6.50,0.12
6,6.45,67.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45,0.00,16.13,0.00,3.23,0.00
7,0.01,5.87,0.52,0.00,0.00,0.00,0.00,0.04,0.14,0.00,0.00,0.00,0.01,0.00,80.76,2.19,10.46
8,5.47,1.04,0.29,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.10,1.64,0.00,0.29,86.12,5.01
9,0.27,1.39,2.02,0.00,0.00,0.00,0.00,0.01,0.04,0.00,0.00,0.01,0.02,0.00,2.33,7.37,86.53
