"","1","10","11","12","13","14","15","16","17","2","3","4","5","6","7","8","9"
"1",50550,251,40,1,0,0,0,0,12,4,10,7,2179,0,0,10310,426
"10",276,36866,116,21,0,0,118,904,91,0,0,7,32,2,3159,2065,1644
"11",193,391,12514,1,0,0,0,6,254,0,2,0,28,0,1262,1391,4434
"12",0,40,0,87,0,0,0,0,0,0,0,0,0,0,0,0,1
"13",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"14",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0
"15",0,433,0,0,0,0,3295,849,0,0,0,0,0,0,3,0,2
"16",0,1966,14,0,0,0,677,3739,11,0,0,0,0,0,11,8,85
"17",78,539,796,0,0,0,1,11,966,0,0,0,6,0,380,278,478
"2",76,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"3",47,0,24,0,0,0,0,0,0,0,35,6,81,0,2,182,79
"4",205,75,1,1,0,0,0,0,0,0,3,1794,979,1,0,300,14
"5",2325,27,8,0,0,0,0,0,0,0,7,354,28492,0,0,2172,41
"6",2,21,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0
"7",3,2372,209,0,0,0,2,15,56,0,0,0,3,0,32639,886,4228
"8",7602,1449,408,1,0,0,0,3,45,0,13,133,2282,0,396,119634,6955
"9",304,1536,2242,1,0,0,0,14,47,0,4,8,19,0,2581,8155,95815
