"","0","100","20","210","220","230","31","32","33","40","50","80","81"
"0",10287,9,2,24,3,0,13,4,7,2,34,19,0
"100",15,2594,54,1995,416,740,37,71,1221,29,2212,416,441
"20",20,96,2977,11154,290,2169,0,27,671,562,4488,1967,361
"210",27,326,1493,141386,2106,6836,17,148,2734,385,11586,5115,2813
"220",14,86,155,6850,7460,2783,2,9,222,36,1388,818,399
"230",2,161,500,10390,1633,15676,0,6,64,11,1414,601,973
"31",1,26,2,120,0,0,2702,212,1624,5,75,12,0
"32",8,133,24,785,12,75,303,1205,2430,57,439,29,1
"33",14,546,154,5619,82,159,794,580,12378,154,3487,569,65
"40",22,35,186,2350,3,4,0,19,174,1713,1996,966,136
"50",49,889,576,20392,392,1005,33,136,3019,629,33477,1840,407
"80",51,94,364,10184,767,671,0,12,306,484,2314,24237,4577
"81",0,86,107,6896,476,1689,0,0,45,50,667,5818,11541
